Название;Полное наименование;Лицензия НБУ;Дата регистрации;МФО;Код ЕГРПОУ;Адрес главного офиса;Вебсайт;Контакт-центр;Е-мейл;Статус;Акционеры банка;Капитал;Дополнительная информация
Легбанк;;;;;;;;;;Ликвидация;;;
КСГ Банк;;;;;;;;;;Ликвидация;;;
Траст-капитал;"Публичное акционерное общество ""Акционерный коммерческий банк ""Траст-капитал""";211 от 03.11.2011;10.03.2004;380106;26519933;;;;;;;Частный украинский;
Смартбанк (Банк Рыночные технологии);;;;;;;;;;Ликвидация;;;
НК Банк;;;;;;;;;;Временная администрация;;;
Банк Велес;;;;;;;;;;Ликвидация;;;
Земельный капитал;Публичное акционерное общество «Коммерческий банк «ЗЕМЕЛЬНЫЙ КАПИТАЛ»;113 от 16.11.2011;31.01.1994;305880;20280450;;;;;;;Частный украинский;
Конкорд;Публичное акционерное общество «АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК «Конкорд»;230 от 07.11.2011;07.08.2006;307350;34514392;;;;;;;Частный украинский;
ПФБ;"Публичное акционерное общество ""Промышленно-финансовый банк""";189 от 07.11.2011;29.12.1997;331768;25292831;;;;;;;Частный украинский;
Фамильный;"Публичное акционерное общество ""Банк Фамильный""";145 от 14.11.2011;27.12.1991;334840;20042839;;;;;;;Частный украинский;
Грин банк;;;;;;;;;;Ликвидация;;;
Вектор банк;;;;;;;;;;Временная администрация;;;
Аксиома;;;;;;;;;;Ликвидация;;;
Кредит оптима банк;"Публичное акционерное общество ""КРЕДИТ ОПТИМА БАНК""";239 от 16.11.2011;29.12.2006;380571;34819265;;;;;;;Частный украинский;
Банк Центр;Публичное акционерное общество «Коммерческий Банк «Центр»;257 от 21.11.2011;16.06.2010;380742;37119553;;;;;;;Частный украинский;
Агропросперис Банк (АСТРА БАНК);Публичное акционерное общество «Агропросперис Банк»;241 от 16.02.2016;28.11.2007;380548;35590956;;;;;;;Частный украинский;
Банк Портал;Публичное акционерное общество «БАНК «ПОРТАЛ»;273 от 20.09.2013;20.09.2013;339016;38870739;;;;;;;Частный украинский;
коммерческий индустриальный банк;Публичное акционерное общество «КОММЕРЧЕСКИЙ ИНДУСТРИАЛЬНЫЙ БАНК»;186 от 11.11.2011;03.12.1993;322540;21580639;;;;;;;Частный украинский;
Альпари банк;Публичное акционерное общество «АЛЬПАРИ БАНК»;266 от 26.10.2012;26.10.2012;380894;38377143;;;;;;;Частный украинский;
Госзембанк;;;;;;;;;;Ликвидация;;;
Гефест;Публичное акционерное общество «Коммерческий банк «ГЕФЕСТ»;274 от 04.10.2013;04.10.2013;377120;38770082;;;;;;;Частный украинский;
УБРР;"Публичное акционерное общество ""Украинский банк реконструкции и развития""";216 от 15.11.2011;19.03.2004;380883;26520688;;;;;;;Государственный;
Мелиор банк;;;;;;;;;;Ликвидация;;;
ИнтерКредитБанк;;;;;;;;;;Ликвидация;;;
Прайм-банк;;;;;;;;;;Ликвидация;;;
Интербанк;;;;;;;;;;Ликвидация;;;
Укркомунбанк;;;;;;;;;;Ликвидация;;;
Старокиевский банк;;;;;;;;;;Ликвидация;;;
Эрде Банк;;;;;;;;;;Ликвидация;;;
Промэкономбанк;;;;;;;;;;Ликвидация;;;
Захидинкомбанк;;;;;;;;;;Ликвидация;;;
Реал банк;;;;;;;;;;Ликвидация;;;
Автокраз Банк;;;;;;;;;;Ликвидация;;;
Финростбанк;;;;;;;;;;Ликвидация;;;
Банк Даниель;;;;;;;;;;Ликвидация;;;
Украинский финансовый мир;;;;;;;;;;Ликвидация;;;
Банк Золотые ворота;;;;;;;;;;Ликвидация;;;
Банк Меркурий;;;;;;;;;;Ликвидация;;;
Актив-банк;;;;;;;;;;Ликвидация;;;
Еврогазбанк;;;;;;;;;;Ликвидация;;;
Терра банк;;;;;;;;;;Ликвидация;;;
Таврика;;;;;;;;;;Ликвидация;;;
АктаБанк;;;;;;;;;;Ликвидация;;;
Пивденкомбанк;;;;;;;;;;Ликвидация;;;
Форум Банк;;;;;;;;;;Ликвидация;;;
Брокбизнесбанк;;;;;;;;;;Ликвидация;;;
РВС Банк;"Публичное акционерное общество ""РВС БАНК""";277 от 24.11.2016;25.06.2015;339072;39849797;;;;;;;Частный украинский;
Восточно-промышленный банк;;;;;;;;;;Ликвидация;;;
Морской;;;;;;;;;;Ликвидация;;;
ЧБРР;;;;;;;;;;Ликвидация;;;
